trajectory,timestamp,start_point,end_point,start_lat,start_lon,end_lat,end_lon,distance_km,task_size,offload_ratio,latency,energy
 ofodwo_772197,2008-05-30 00:58:25,POINT(-122.43751 37.80069),POINT(-122.43592 37.79879),37.80069,-122.43751,37.79879,-122.43592,0.25314434707617245,1032114,0.7650966371473749,0.03399660715666726,12.668513684029817
 atidfi_178454,2008-05-19 16:49:22,POINT(-122.41666 37.77201),POINT(-122.41415 37.77194),37.77201,-122.41666,37.77194,-122.41415,0.22127679476247955,1001286,0.8148885918068849,0.03465521239615039,11.075464624748953
 udthon_980122,2008-05-27 09:08:18,POINT(-122.40294 37.79422),POINT(-122.39869 37.79419),37.79422,-122.40294,37.79419,-122.39869,0.3743435137441291,1638200,0.996669893767494,0.07339160138764442,18.74084229354492
 ilyutj_611023,2008-05-18 12:32:54,POINT(-122.40942 37.80037),POINT(-122.40929 37.8007),37.80037,-122.40942,37.8007,-122.40929,0.038375277610250585,1106792,0.40690014462192814,0.01744888131350398,1.9250123068925438
 iphesp_669167,2008-06-05 21:30:36,POINT(-122.47766 37.78595),POINT(-122.47849 37.78259),37.78595,-122.47766,37.78259,-122.47849,0.3800338993220043,1278927,0.9834810698503784,0.05663766865156282,19.019936737907578
 atnokv_182238,2008-06-05 11:42:23,POINT(-122.4305 37.76053),POINT(-122.42917 37.76735),37.76053,-122.4305,37.76735,-122.42917,0.7659833359303458,1126603,0.9882563508125484,0.05477526922714442,38.31577804913595
 osocce_915170,2008-05-23 20:41:49,POINT(-122.42997 37.78554),POINT(-122.43401 37.78863),37.78554,-122.42997,37.78863,-122.43401,0.4942339354056595,1128969,0.2908597650333075,0.015262887733521,24.71650677563703
 adkavy_34644,2008-05-27 10:59:39,POINT(-122.41129 37.78581),POINT(-122.41169 37.78622),37.78581,-122.41129,37.78622,-122.41169,0.057553197977360165,2522172,0.8486793897683353,0.08359943511341172,2.9074249963178573
 abniar_11749,2008-05-31 18:21:57,POINT(-122.42147 37.77813),POINT(-122.42102 37.78454),37.77813,-122.42147,37.78454,-122.42102,0.712564453511802,1002607,0.2757834751367132,0.013472081995426419,35.63233490821621
 anucks_133413,2008-06-07 18:18:26,POINT(-122.39668 37.79328),POINT(-122.39685 37.79436),37.79328,-122.39668,37.79436,-122.39685,0.12080351930752402,1233845,0.7184397528891064,0.035807662520681315,6.052621164597304
 iphybc_669861,2008-05-20 23:55:16,POINT(-122.41598 37.79115),POINT(-122.41149 37.79336),37.79115,-122.41598,37.79336,-122.41149,0.46537242872364915,1085641,0.22526038311544083,0.011282759821273516,23.272195231240442
